bug: ap_get_conn_socket in process_socket, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 4, confidence: 66.67%
bug: apr_thread_cond_signal in ap_queue_push_timer, pair: (apr_thread_cond_signal, apr_thread_mutex_unlock), support: 4, confidence: 100.00%
bug: apr_thread_cond_signal in ap_queue_push_timer, pair: (apr_thread_cond_signal, apr_thread_mutex_lock), support: 4, confidence: 100.00%
bug: apr_thread_mutex_lock in ap_queue_push_timer, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_cond_signal in ap_queue_push_socket, pair: (apr_thread_cond_signal, apr_thread_mutex_unlock), support: 4, confidence: 100.00%
bug: apr_thread_cond_signal in ap_queue_push_socket, pair: (apr_thread_cond_signal, apr_thread_mutex_lock), support: 4, confidence: 100.00%
bug: apr_thread_mutex_lock in ap_queue_push_socket, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_mutex_lock in ap_queue_info_wait_for_idler, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_mutex_lock in ap_queue_info_set_idle, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_cond_signal in ap_queue_info_set_idle, pair: (apr_thread_cond_signal, apr_thread_mutex_unlock), support: 4, confidence: 100.00%
bug: apr_thread_cond_signal in ap_queue_info_set_idle, pair: (apr_thread_cond_signal, apr_thread_mutex_lock), support: 4, confidence: 100.00%
bug: sigemptyset in ap_fatal_signal_setup, pair: (ap_log_error_, sigemptyset), support: 4, confidence: 100.00%
bug: apr_file_write in ap_mpm_podx_signal, pair: (ap_log_error_, apr_file_write), support: 3, confidence: 100.00%
bug: ap_get_conn_socket in ap_start_lingering_close, pair: (ap_get_conn_socket, ap_update_child_status), support: 4, confidence: 66.67%
bug: ap_get_conn_socket in ap_start_lingering_close, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 4, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_pre_connection, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_connection, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_connection, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_pre_connection, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_pre_connection, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_connection, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_connection, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_pre_connection, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_create_connection, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_create_connection, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_create_connection, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_create_connection, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_create_connection, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_create_connection, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_create_connection, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_create_connection, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_register_log_hooks, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_register_log_hooks, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_register_log_hooks, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_register_log_hooks, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_register_log_hooks, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_register_log_hooks, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_register_log_hooks, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_register_log_hooks, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: ap_walk_config in ap_parse_htaccess, pair: (ap_walk_config, apr_pstrcat), support: 6, confidence: 75.00%
bug: apr_file_open_stdout in ap_process_resource_config, pair: (ap_exists_config_define, apr_file_open_stdout), support: 4, confidence: 66.67%
bug: apr_file_open_stdout in ap_process_resource_config, pair: (apr_file_open_stdout, apr_file_printf), support: 5, confidence: 83.33%
bug: ap_str_tolower in ap_walk_config, pair: (ap_str_tolower, apr_pstrdup), support: 14, confidence: 82.35%
bug: ap_find_last_token in ap_set_keepalive, pair: (ap_find_last_token, apr_table_get), support: 3, confidence: 100.00%
bug: apr_hook_debug_show in ap_hook_open_htaccess, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_open_htaccess, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_open_htaccess, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_open_htaccess, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_open_htaccess, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_open_htaccess, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_open_htaccess, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_open_htaccess, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_check_config, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_check_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_check_config, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_check_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_check_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_check_config, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_check_config, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_check_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_pre_config, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_config, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_pre_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_pre_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_config, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_config, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_pre_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_handler, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_handler, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_handler, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_handler, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_handler, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_handler, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_handler, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_handler, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_create_request, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_create_request, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_create_request, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_create_request, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_create_request, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_create_request, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_create_request, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_create_request, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_file_open in ap_read_pid, pair: (ap_log_error_, apr_file_open), support: 5, confidence: 71.43%
bug: apr_hook_debug_show in ap_hook_fixups, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_fixups, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_fixups, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_fixups, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_fixups, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_fixups, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_fixups, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_fixups, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: ap_str_tolower in ap_get_useragent_host, pair: (ap_str_tolower, apr_pstrdup), support: 14, confidence: 82.35%
bug: qsort in ap_core_reorder_directories, pair: (apr_palloc, qsort), support: 3, confidence: 75.00%
bug: apr_table_clear in ap_send_error_response, pair: (apr_table_clear, strlen), support: 4, confidence: 66.67%
bug: apr_table_clear in ap_send_error_response, pair: (ap_log_rerror_, apr_table_clear), support: 4, confidence: 66.67%
bug: apr_table_clear in ap_send_error_response, pair: (apr_table_clear, apr_table_get), support: 4, confidence: 66.67%
bug: apr_fnmatch_test in ap_process_fnmatch_configs, pair: (apr_fnmatch_test, apr_pstrcat), support: 5, confidence: 83.33%
bug: ap_scan_http_token in ap_get_mime_headers_core, pair: (ap_scan_http_token, apr_palloc), support: 3, confidence: 100.00%
bug: ap_scan_http_token in ap_get_mime_headers_core, pair: (ap_log_rerror_, ap_scan_http_token), support: 3, confidence: 100.00%
bug: apr_table_do in ap_get_mime_headers_core, pair: (ap_log_rerror_, apr_table_do), support: 5, confidence: 71.43%
bug: apr_hook_debug_show in ap_hook_child_status, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_child_status, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_child_status, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_child_status, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_child_status, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_child_status, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_child_status, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_child_status, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_array_push in ap_regname, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_table_clear in ap_send_interim_response, pair: (ap_log_rerror_, apr_table_clear), support: 4, confidence: 66.67%
bug: apr_table_clear in ap_send_interim_response, pair: (apr_table_clear, apr_table_get), support: 4, confidence: 66.67%
bug: apr_table_do in ap_send_interim_response, pair: (ap_log_rerror_, apr_table_do), support: 5, confidence: 71.43%
bug: apr_array_make in prep_walk_cache, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_pre_mpm, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_mpm, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_pre_mpm, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_pre_mpm, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_pre_mpm, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_mpm, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_pre_mpm, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_pre_mpm, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_file_write in ap_mpm_podx_killpg, pair: (ap_log_error_, apr_file_write), support: 3, confidence: 100.00%
bug: apr_hook_debug_show in ap_expr_init, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_expr_init, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_expr_init, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_expr_init, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_expr_init, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_expr_init, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_expr_init, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_expr_init, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_open_logs, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_open_logs, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_open_logs, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_open_logs, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_open_logs, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_open_logs, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_open_logs, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_open_logs, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_type_checker, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_type_checker, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_type_checker, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_type_checker, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_type_checker, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_type_checker, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_type_checker, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_type_checker, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_socket_timeout_get in ap_read_request, pair: (apr_socket_timeout_get, apr_socket_timeout_set), support: 3, confidence: 75.00%
bug: ap_get_conn_socket in ap_read_request, pair: (ap_get_conn_socket, ap_update_child_status), support: 4, confidence: 66.67%
bug: ap_get_conn_socket in ap_read_request, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 4, confidence: 66.67%
bug: strncmp in ap_update_vhost_from_headers, pair: (strlen, strncmp), support: 7, confidence: 70.00%
bug: apr_pstrcatv in ap_update_vhost_from_headers, pair: (apr_pstrcatv, strlen), support: 4, confidence: 80.00%
bug: apr_array_push in ap_dir_fnmatch, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_array_make in ap_dir_fnmatch, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: qsort in ap_dir_fnmatch, pair: (apr_palloc, qsort), support: 3, confidence: 75.00%
bug: apr_fnmatch_test in ap_dir_fnmatch, pair: (apr_array_push, apr_fnmatch_test), support: 4, confidence: 66.67%
bug: apr_fnmatch_test in ap_dir_fnmatch, pair: (apr_fnmatch_test, apr_pstrcat), support: 5, confidence: 83.33%
bug: apr_fnmatch_test in ap_dir_fnmatch, pair: (apr_array_make, apr_fnmatch_test), support: 4, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_dirwalk_stat, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_dirwalk_stat, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_dirwalk_stat, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_dirwalk_stat, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_dirwalk_stat, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_dirwalk_stat, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_dirwalk_stat, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_dirwalk_stat, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: setsockopt in make_sock, pair: (apr_socket_close, setsockopt), support: 3, confidence: 100.00%
bug: apr_os_sock_get in make_sock, pair: (apr_os_sock_get, apr_socket_close), support: 3, confidence: 100.00%
bug: apr_bucket_flush_create in ap_fflush, pair: (apr_brigade_create, apr_bucket_flush_create), support: 7, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_optional_fn_retrieve, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_optional_fn_retrieve, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_optional_fn_retrieve, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_optional_fn_retrieve, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_optional_fn_retrieve, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_optional_fn_retrieve, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_optional_fn_retrieve, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_optional_fn_retrieve, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_test_config, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_test_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_test_config, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_test_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_test_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_test_config, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_test_config, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_test_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: ap_index_of_response in ap_die_r, pair: (ap_index_of_response, ap_is_url), support: 3, confidence: 75.00%
bug: ap_is_url in ap_die_r, pair: (ap_is_url, apr_pstrcat), support: 3, confidence: 75.00%
bug: ap_is_url in ap_die_r, pair: (ap_index_of_response, ap_is_url), support: 3, confidence: 75.00%
bug: ap_run_quick_handler in ap_die_r, pair: (ap_process_request_internal, ap_run_quick_handler), support: 4, confidence: 80.00%
bug: ap_run_quick_handler in ap_die_r, pair: (ap_invoke_handler, ap_run_quick_handler), support: 4, confidence: 80.00%
bug: ap_die_r in ap_die_r, pair: (ap_die_r, ap_process_request_internal), support: 4, confidence: 66.67%
bug: ap_die_r in ap_die_r, pair: (ap_die_r, ap_invoke_handler), support: 4, confidence: 66.67%
bug: internal_internal_redirect in ap_die_r, pair: (ap_process_request_internal, internal_internal_redirect), support: 3, confidence: 150.00%
bug: internal_internal_redirect in ap_die_r, pair: (ap_invoke_handler, internal_internal_redirect), support: 3, confidence: 150.00%
bug: ap_invoke_handler in ap_die_r, pair: (ap_invoke_handler, ap_process_request_internal), support: 4, confidence: 80.00%
bug: ap_invoke_handler in ap_die_r, pair: (ap_invoke_handler, ap_run_quick_handler), support: 4, confidence: 80.00%
bug: apr_hook_debug_show in ap_hook_child_init, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_child_init, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_child_init, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_child_init, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_child_init, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_child_init, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_child_init, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_child_init, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_hook_debug_show in ap_hook_post_config, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_post_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_post_config, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_post_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
